Unit,Standard,Mastery Target,Evidence,Status
1,"ordered fields",80,,
1,"absolute value",80,,
1,"supremum",80,,
1,"infimum",80,,
1,"completeness",80,,
1,"Archimedean property",80,,
1,"density",80,,
1,"proof conventions",80,,
2,"sequence convergence",80,,
2,"limit uniqueness",80,,
2,"monotone convergence",80,,
2,"subsequences",80,,
2,"Bolzano-Weierstrass",80,,
2,"Cauchy sequences",80,,
2,"limsup and liminf",80,,
3,"series convergence",80,,
3,"Cauchy criterion",80,,
3,"comparison",80,,
3,"ratio and root tests",80,,
3,"absolute convergence",80,,
3,"alternating series",80,,
3,"power series",80,,
3,"radius of convergence",80,,
4,"metrics",80,,
4,"open and closed sets",80,,
4,"interior and closure",80,,
4,"convergence",80,,
4,"completeness",80,,
4,"compactness",80,,
4,"connectedness",80,,
4,"Heine-Borel",80,,
5,"epsilon-delta continuity",80,,
5,"sequential continuity",80,,
5,"uniform continuity",80,,
5,"compact-domain theorems",80,,
5,"function spaces",80,,
5,"sup norm",80,,
5,"equicontinuity",80,,
6,"derivative definition",80,,
6,"linear approximation",80,,
6,"Rolle theorem",80,,
6,"mean value theorem",80,,
6,"Taylor theorem",80,,
6,"inverse function",80,,
6,"convexity",80,,
6,"higher derivatives",80,,
7,"partitions",80,,
7,"Riemann sums",80,,
7,"upper and lower integrals",80,,
7,"integrability criteria",80,,
7,"FTC",80,,
7,"change of variables",80,,
7,"improper integrals",80,,
8,"pointwise convergence",80,,
8,"uniform convergence",80,,
8,"uniform Cauchy criterion",80,,
8,"Weierstrass M-test",80,,
8,"continuity preservation",80,,
8,"termwise integration",80,,
8,"termwise differentiation",80,,
9,"sigma-algebras",80,,
9,"measures",80,,
9,"measurable functions",80,,
9,"Lebesgue integral",80,,
9,"Fatou",80,,
9,"monotone convergence",80,,
9,"dominated convergence",80,,
9,"Lp spaces",80,,
10,"complex arithmetic",80,,
10,"polar form",80,,
10,"exponential and logarithm",80,,
10,"complex limits",80,,
10,"holomorphicity",80,,
10,"Cauchy-Riemann equations",80,,
10,"harmonic functions",80,,
10,"conformal maps",80,,
11,"contours",80,,
11,"complex line integrals",80,,
11,"primitives",80,,
11,"Cauchy theorem",80,,
11,"Cauchy integral formula",80,,
11,"derivative estimates",80,,
11,"Liouville theorem",80,,
11,"fundamental theorem of algebra",80,,
12,"Laurent series",80,,
12,"isolated singularities",80,,
12,"removable singularities",80,,
12,"poles",80,,
12,"essential singularities",80,,
12,"residues",80,,
12,"residue theorem",80,,
12,"argument principle",80,,
13,"Poisson kernel",80,,
13,"harmonic mean value",80,,
13,"Schwarz lemma",80,,
13,"Riemann mapping",80,,
13,"analytic continuation",80,,
13,"normal families",80,,
13,"Montel theorem",80,,
13,"special functions",80,,
13,"research exposition",80,,
