Learner,Unit,Standard,First Evidence,Correction Evidence,Best Level,Date,Notes
,1,Fundamental Theorem of Calculus,,,,,
,1,Antiderivative families,,,,,
,1,Definite integrals and net change,,,,,
,1,Substitution,,,,,
,1,Initial-value problems,,,,,
,1,Units and interpretation,,,,,
,1,Mathematical justification,,,,,
,2,Integration by parts,,,,,
,2,Choice of u and dv,,,,,
,2,Repeated integration,,,,,
,2,Tabular method,,,,,
,2,Definite integration by parts,,,,,
,2,Reduction formulas,,,,,
,2,Cyclic integrals,,,,,
,2,Verification,,,,,
,3,Trigonometric integrals,,,,,
,3,Power-reduction identities,,,,,
,3,Odd/even power strategies,,,,,
,3,Trigonometric substitution,,,,,
,3,Back-substitution,,,,,
,3,Domain restrictions,,,,,
,3,Exact verification,,,,,
,4,Polynomial division,,,,,
,4,Partial fractions,,,,,
,4,Distinct and repeated linear factors,,,,,
,4,Irreducible quadratics,,,,,
,4,Repeated irreducible factors,,,,,
,4,Coefficient solving,,,,,
,4,Domain analysis,,,,,
,4,Derivative verification,,,,,
,5,Improper integrals,,,,,
,5,Infinite intervals,,,,,
,5,Unbounded integrands,,,,,
,5,p-integrals,,,,,
,5,Comparison,,,,,
,5,Trapezoidal rule,,,,,
,5,Midpoint rule,,,,,
,5,Simpson’s rule,,,,,
,5,Error analysis,,,,,
,6,Area between curves,,,,,
,6,Slicing,,,,,
,6,Disk and washer methods,,,,,
,6,Shell method,,,,,
,6,Arc length,,,,,
,6,Surface area,,,,,
,6,Method selection,,,,,
,6,Units and reasonableness,,,,,
,7,Work by variable force,,,,,
,7,Hooke’s law,,,,,
,7,Pumping fluids,,,,,
,7,Hydrostatic force,,,,,
,7,Moments and centers of mass,,,,,
,7,Probability density,,,,,
,7,Expected value,,,,,
,7,Dimensional analysis,,,,,
,8,Direction fields,,,,,
,8,Euler’s method,,,,,
,8,Separable equations,,,,,
,8,Exponential growth and decay,,,,,
,8,Logistic models,,,,,
,8,First-order linear equations,,,,,
,8,Integrating factors,,,,,
,8,Model validation,,,,,
,9,Parametric representation,,,,,
,9,Parametric derivatives,,,,,
,9,Second derivatives,,,,,
,9,Parametric area,,,,,
,9,Parametric arc length,,,,,
,9,Vector-valued motion,,,,,
,9,Velocity and acceleration,,,,,
,9,Trajectory modelling,,,,,
,10,Polar-coordinate conversion,,,,,
,10,Polar graphs,,,,,
,10,Symmetry,,,,,
,10,Polar slope,,,,,
,10,Polar area,,,,,
,10,Intersections and overlap,,,,,
,10,Polar arc length,,,,,
,10,Polar conics,,,,,
,11,Sequence limits,,,,,
,11,Monotone and bounded sequences,,,,,
,11,Infinite series,,,,,
,11,Partial sums,,,,,
,11,Geometric series,,,,,
,11,Telescoping series,,,,,
,11,Divergence test,,,,,
,11,Integral test,,,,,
,11,Remainder estimates,,,,,
,12,Direct comparison,,,,,
,12,Limit comparison,,,,,
,12,Alternating series,,,,,
,12,Absolute and conditional convergence,,,,,
,12,Ratio test,,,,,
,12,Root test,,,,,
,12,Test selection,,,,,
,12,Counterexamples,,,,,
,13,Power series,,,,,
,13,Radius and interval of convergence,,,,,
,13,Endpoint testing,,,,,
,13,Termwise operations,,,,,
,13,Taylor polynomials,,,,,
,13,Maclaurin series,,,,,
,13,Taylor remainder,,,,,
,13,Series methods,,,,,
,13,Mathematical modelling,,,,,
