Week,Unit,Focus,Essential Question,Route
1,1,"Ordered-Field Axioms and Consequences; Absolute Value, Intervals and the Triangle Inequality; Upper Bounds, Suprema and Infima; The Completeness Axiom","How do ordered-field axioms and completeness support every rigorous statement about real-variable analysis?",units/unit-01/index.html
2,1,"Archimedean Property and Density of the Rationals; Nested Intervals and Monotone Completeness; Proof Synthesis: Foundations of R","How do ordered-field axioms and completeness support every rigorous statement about real-variable analysis?",units/unit-01/index.html
3,2,"Sequence Limits from the Epsilon Definition; Limit Uniqueness and Algebra of Limits; Monotone Convergence Theorem","How do sequences encode limiting behavior, compactness, and completeness on the real line?",units/unit-02/index.html
4,2,"Subsequences and Cluster Points; Bolzano\u2013Weierstrass Theorem","How do sequences encode limiting behavior, compactness, and completeness on the real line?",units/unit-02/index.html
5,2,"Cauchy Sequences and Completeness; Limit Superior, Limit Inferior and Oscillation","How do sequences encode limiting behavior, compactness, and completeness on the real line?",units/unit-02/index.html
6,3,"Series, Partial Sums and the Cauchy Criterion; Positive-Term Comparison Tests; Ratio, Root and Integral Tests","How do convergence tests and power series control infinite accumulation and approximation?",units/unit-03/index.html
7,3,"Absolute and Conditional Convergence; Alternating Series and Error Bounds","How do convergence tests and power series control infinite accumulation and approximation?",units/unit-03/index.html
8,3,"Power Series and Radius of Convergence; Operations on Power Series","How do convergence tests and power series control infinite accumulation and approximation?",units/unit-03/index.html
9,4,"Metrics and Open Balls; Open Sets, Closed Sets and Neighborhoods; Interior, Closure, Boundary and Accumulation Points","How do metric-space ideas generalize distance, convergence, continuity, and compactness beyond the real line?",units/unit-04/index.html
10,4,"Convergence and Continuity in Metric Spaces; Completeness and Completion","How do metric-space ideas generalize distance, convergence, continuity, and compactness beyond the real line?",units/unit-04/index.html
11,4,"Compactness and Sequential Compactness; Connectedness, Heine\u2013Borel and Continuous Images","How do metric-space ideas generalize distance, convergence, continuity, and compactness beyond the real line?",units/unit-04/index.html
12,5,"Epsilon\u2013Delta Continuity; Sequential Characterization of Continuity; Algebra and Composition of Continuous Functions","How do local and uniform notions of continuity govern approximation and stability?",units/unit-05/index.html
13,5,"Extreme and Intermediate Value Theorems; Uniform Continuity and Compact Domains","How do local and uniform notions of continuity govern approximation and stability?",units/unit-05/index.html
14,5,"Function Spaces and the Supremum Norm; Equicontinuity and Arzel\u00e0\u2013Ascoli Preview","How do local and uniform notions of continuity govern approximation and stability?",units/unit-05/index.html
15,6,"Derivative as a Limit and Linear Approximation; Algebra of Derivatives and Chain Rule; Rolle\u2019s Theorem and Mean Value Theorem","How does differentiability impose local linear structure and global constraints?",units/unit-06/index.html
16,6,"Consequences of the Mean Value Theorem; Taylor\u2019s Theorem with Remainder","How does differentiability impose local linear structure and global constraints?",units/unit-06/index.html
17,6,"Convexity and Supporting Lines; Inverse and Implicit Function Preview","How does differentiability impose local linear structure and global constraints?",units/unit-06/index.html
18,7,"Partitions, Upper Sums and Lower Sums; Riemann Integrability Criteria; Continuous and Monotone Functions Are Integrable","How do upper and lower sums make area and accumulation rigorous?",units/unit-07/index.html
19,7,"Properties of the Riemann Integral; Fundamental Theorem of Calculus, Part I","How do upper and lower sums make area and accumulation rigorous?",units/unit-07/index.html
