Week,Unit,Unit Title,Lesson IDs,Focus
1,1,"Differential Equations, Models & Qualitative Structure",u01-l01 | u01-l02 | u01-l03,"Rates of Change and Differential-Equation Models; Classification: Order, Linearity and Autonomy; Solutions, Families and Initial-Value Problems"
2,1,"Differential Equations, Models & Qualitative Structure",u01-l04 | u01-l05,"Direction Fields and Isoclines; Existence, Uniqueness and Maximal Intervals"
3,1,"Differential Equations, Models & Qualitative Structure",u01-l06 | u01-l07,"Autonomous Equations, Equilibria and Stability; Units, Scaling, Assumptions and Model Validation"
4,2,"Separable Equations, Growth, Decay & Nonlinear First-Order Models",u02-l01 | u02-l02 | u02-l03,"Separation of Variables; Exponential Growth and Decay; Doubling Time, Half-Life and Parameter Identification"
5,2,"Separable Equations, Growth, Decay & Nonlinear First-Order Models",u02-l04 | u02-l05,"Logistic Growth and Carrying Capacity; Threshold, Harvesting and Finite-Time Blow-Up"
6,2,"Separable Equations, Growth, Decay & Nonlinear First-Order Models",u02-l06 | u02-l07,Homogeneous First-Order Substitution; Orthogonal Trajectories and Family Geometry
7,3,"First-Order Linear, Exact & Transformable Equations",u03-l01 | u03-l02 | u03-l03,First-Order Linear Equations and Integrating Factors; Exact Equations and Potential Functions; Integrating Factors for Nonexact Equations
8,3,"First-Order Linear, Exact & Transformable Equations",u03-l04 | u03-l05,Bernoulli Equations; Substitutions for Shifted and Composite Slopes
9,3,"First-Order Linear, Exact & Transformable Equations",u03-l06 | u03-l07,Singular Solutions and Envelopes; First-Order Strategy and Interval Audit
10,4,"Applied First-Order Models in Physics, Engineering & Life Science",u04-l01 | u04-l02 | u04-l03,Newton Cooling and Heating; Mixing Tanks and Conservation of Solute; Falling Bodies with Linear Drag
11,4,"Applied First-Order Models in Physics, Engineering & Life Science",u04-l04 | u04-l05,Population Harvesting and Threshold Management; Chemical Kinetics and Compartment Models
12,4,"Applied First-Order Models in Physics, Engineering & Life Science",u04-l06 | u04-l07,"RC Circuits and Electrical Time Constants; Assumptions, Calibration and Sensitivity in Applied Models"
