Week,Unit,Focus,Essential Question,Route
1,1,"From Computation to Structure; Binary Operations and Closure; Associativity, Identities and Inverses","How do axioms, examples, and structure-preserving maps turn familiar arithmetic into abstract algebra?",units/unit-01/index.html
2,1,"Cayley Tables and Finite Structures; Examples, Nonexamples and Countermodels","How do axioms, examples, and structure-preserving maps turn familiar arithmetic into abstract algebra?",units/unit-01/index.html
3,1,"Isomorphism and Structural Sameness; Substructures and Universal Constructions","How do axioms, examples, and structure-preserving maps turn familiar arithmetic into abstract algebra?",units/unit-01/index.html
4,2,"Groups and Their Fundamental Axioms; Subgroups and the One-Step Subgroup Test; Generated Subgroups and Words","How do group axioms encode reversible symmetry and repeated action?",units/unit-02/index.html
5,2,"Cyclic Groups and Element Order; Subgroups of Cyclic Groups","How do group axioms encode reversible symmetry and repeated action?",units/unit-02/index.html
6,2,"Direct Products and Product Structure; Symmetry, Matrix and Transformation Groups","How do group axioms encode reversible symmetry and repeated action?",units/unit-02/index.html
7,3,"Left and Right Cosets; Cosets as Partitions; Lagrange\u2019s Theorem","How do cosets partition groups and convert local subgroup information into global counting theorems?",units/unit-03/index.html
8,3,"Element Orders and Cyclic Consequences; Fermat, Euler and Modular Applications","How do cosets partition groups and convert local subgroup information into global counting theorems?",units/unit-03/index.html
9,3,"Index-Two Subgroups and Normality; Coset Actions and Quotient Intuition","How do cosets partition groups and convert local subgroup information into global counting theorems?",units/unit-03/index.html
10,4,"Permutations, Cycles and Composition; Transpositions, Sign and Alternating Groups; Group Actions and Permutation Representations","How do group actions translate abstract symmetry into permutations, orbits, stabilizers, and counting formulas?",units/unit-04/index.html
11,4,"Orbits, Stabilizers and Orbit\u2013Stabilizer; Cayley\u2019s Theorem","How do group actions translate abstract symmetry into permutations, orbits, stabilizers, and counting formulas?",units/unit-04/index.html
12,4,"Conjugation, Centralizers and the Class Equation; Burnside\u2019s Lemma and Symmetry Enumeration","How do group actions translate abstract symmetry into permutations, orbits, stabilizers, and counting formulas?",units/unit-04/index.html
13,5,"Group Homomorphisms and Preserved Structure; Kernels, Images and Exact Structural Evidence; Normal Subgroups and Conjugation Criteria","How do kernels, images, and quotients expose the internal architecture of groups?",units/unit-05/index.html
