Unit,Standard,Mastery Target,Evidence,Status
1,"Binary operations and closure",80,,
1,"Associativity, identity, and inverses",80,,
1,"Algebraic structures and examples",80,,
1,"Cayley tables",80,,
1,"Isomorphism as structural sameness",80,,
1,"Substructures",80,,
1,"Counterexamples and proof obligations",80,,
1,"Universal-property foundations",80,,
2,"Group axioms",80,,
2,"Abelian groups",80,,
2,"Subgroup tests",80,,
2,"Generated subgroups",80,,
2,"Cyclic groups",80,,
2,"Element order",80,,
2,"Direct products",80,,
2,"Finitely generated abelian examples",80,,
2,"Matrix and symmetry groups",80,,
3,"Left and right cosets",80,,
3,"Coset partitions",80,,
3,"Lagrange theorem",80,,
3,"Index",80,,
3,"Element-order consequences",80,,
3,"Euler and Fermat applications",80,,
3,"Normality preview",80,,
3,"Quotient-set intuition",80,,
4,"Permutation notation",80,,
4,"Cycle decompositions",80,,
4,"Parity",80,,
4,"Alternating groups",80,,
4,"Group actions",80,,
4,"Orbits and stabilizers",80,,
4,"Cayley theorem",80,,
4,"Class equation",80,,
4,"Burnside lemma",80,,
4,"Conjugacy",80,,
5,"Group homomorphisms",80,,
5,"Kernels and images",80,,
5,"Normal subgroups",80,,
5,"Quotient groups",80,,
5,"Well-defined operations",80,,
5,"First isomorphism theorem",80,,
5,"Second and third isomorphism theorems",80,,
5,"Correspondence theorem",80,,
5,"Automorphisms",80,,
6,"p-groups",80,,
6,"Cauchy theorem",80,,
6,"Sylow existence",80,,
6,"Sylow conjugacy",80,,
6,"Sylow counting",80,,
6,"Finite abelian groups",80,,
6,"Direct sums",80,,
6,"Simple groups foundations",80,,
6,"Solvable groups foundations",80,,
6,"Semidirect products",80,,
7,"Rings and ring axioms",80,,
7,"Commutative rings",80,,
7,"Units and zero divisors",80,,
7,"Subrings",80,,
7,"Ring homomorphisms",80,,
7,"Ideals",80,,
7,"Principal ideals",80,,
7,"Quotient rings",80,,
7,"Prime ideals",80,,
7,"Maximal ideals",80,,
7,"Chinese remainder theorem",80,,
8,"Integral domains",80,,
8,"Fields of fractions",80,,
8,"Divisibility",80,,
8,"Irreducible and prime elements",80,,
8,"Euclidean domains",80,,
8,"Principal ideal domains",80,,
8,"Unique factorization domains",80,,
8,"Polynomial rings",80,,
8,"Gauss lemma",80,,
8,"Irreducibility criteria",80,,
8,"Eisenstein criterion",80,,
9,"Field extensions",80,,
9,"Simple extensions",80,,
9,"Algebraic and transcendental elements",80,,
9,"Minimal polynomials",80,,
9,"Degree and tower law",80,,
9,"Splitting fields",80,,
9,"Algebraic closure foundations",80,,
9,"Finite fields",80,,
9,"Frobenius map",80,,
9,"Constructible numbers",80,,
10,"Field automorphisms",80,,
10,"Fixed fields",80,,
10,"Galois extensions",80,,
10,"Fundamental theorem of Galois theory",80,,
10,"Normality and separability",80,,
10,"Galois groups of polynomials",80,,
10,"Solvability by radicals",80,,
10,"Cyclotomic extensions",80,,
10,"Finite-field Galois groups",80,,
10,"Classical impossibility results",80,,
11,"Modules and submodules",80,,
11,"Module homomorphisms",80,,
11,"Quotient modules",80,,
11,"Free modules",80,,
11,"Torsion modules",80,,
11,"Modules over PIDs",80,,
11,"Structure theorem",80,,
11,"Rational canonical form",80,,
11,"Jordan form connection",80,,
11,"Representation foundations",80,,
12,"Linear and cyclic codes",80,,
12,"Generator and parity-check matrices",80,,
12,"Finite-field arithmetic",80,,
12,"Reed\u2013Solomon foundations",80,,
12,"Public-key algebra",80,,
12,"Elliptic-curve foundations",80,,
12,"Symmetry and crystallography",80,,
12,"Computational group theory",80,,
12,"Gr\u00f6bner-basis preview",80,,
12,"Invariant theory preview",80,,
13,"Category-language foundations",80,,
13,"Universal properties",80,,
13,"Exact sequences foundations",80,,
13,"Representation theory directions",80,,
13,"Commutative algebra directions",80,,
13,"Algebraic number theory directions",80,,
13,"Algebraic geometry directions",80,,
13,"Computational algebra",80,,
13,"Research ethics",80,,
13,"Mathematical exposition",80,,
