Unit,Standard,Mastery Target,Evidence,Status
1,"mathematical statements",80,,
1,"definitions",80,,
1,"examples and nonexamples",80,,
1,"necessary and sufficient conditions",80,,
1,"theorem structure",80,,
1,"counterexamples",80,,
1,"notation and scope",80,,
2,"connectives",80,,
2,"truth tables",80,,
2,"logical equivalence",80,,
2,"implication",80,,
2,"predicates",80,,
2,"universal and existential quantifiers",80,,
2,"negation",80,,
2,"rules of inference",80,,
3,"set operations",80,,
3,"power sets",80,,
3,"Cartesian products",80,,
3,"functions",80,,
3,"injectivity",80,,
3,"surjectivity",80,,
3,"bijections",80,,
3,"relations",80,,
3,"equivalence relations",80,,
3,"orders",80,,
4,"direct proof",80,,
4,"parity",80,,
4,"divisibility",80,,
4,"inequalities",80,,
4,"set inclusion",80,,
4,"function properties",80,,
4,"algebraic identities",80,,
4,"proof planning",80,,
5,"contraposition",80,,
5,"contradiction",80,,
5,"irrationality",80,,
5,"infinitude",80,,
5,"minimal counterexample",80,,
5,"descent",80,,
5,"negation",80,,
5,"proof strategy selection",80,,
6,"proof by cases",80,,
6,"exhaustiveness",80,,
6,"constructive existence",80,,
6,"nonconstructive existence",80,,
6,"uniqueness",80,,
6,"existence and uniqueness",80,,
6,"classification",80,,
6,"edge cases",80,,
7,"ordinary induction",80,,
7,"strong induction",80,,
7,"well-ordering",80,,
7,"recursive structures",80,,
7,"inequalities",80,,
7,"divisibility",80,,
7,"summation identities",80,,
7,"minimal counterexample",80,,
8,"recursive definitions",80,,
8,"structural recursion",80,,
8,"loop invariants",80,,
8,"preconditions",80,,
8,"postconditions",80,,
8,"partial correctness",80,,
8,"termination",80,,
8,"well-founded measures",80,,
9,"division algorithm",80,,
9,"gcd",80,,
9,"B\u00e9zout identity",80,,
9,"prime factorization",80,,
9,"congruence",80,,
9,"modular inverse",80,,
9,"Diophantine equations",80,,
9,"infinitude",80,,
10,"absolute value",80,,
10,"bounds",80,,
10,"supremum",80,,
10,"sequences",80,,
10,"limits",80,,
10,"epsilon language",80,,
10,"continuity",80,,
10,"Cauchy sequences",80,,
10,"completeness",80,,
11,"group-style axioms",80,,
11,"substructures",80,,
11,"counting arguments",80,,
11,"bijections",80,,
11,"pigeonhole principle",80,,
11,"graph invariants",80,,
11,"trees",80,,
11,"extremal arguments",80,,
12,"proof exposition",80,,
12,"notation",80,,
12,"LaTeX",80,,
12,"citations",80,,
12,"peer review",80,,
12,"revision",80,,
12,"research integrity",80,,
12,"AI disclosure",80,,
12,"reproducibility",80,,
13,"problem formulation",80,,
13,"literature search",80,,
13,"definitions",80,,
13,"lemma design",80,,
13,"proof strategy",80,,
13,"counterexample search",80,,
13,"revision",80,,
13,"oral defense",80,,
13,"future research",80,,
