Learner,Unit,Standard / Concept,Evidence,Score %,Date,Notes
,1,ODE classification,,,,
,1,Order and linearity,,,,
,1,Initial-value problems,,,,
,1,Solution verification,,,,
,1,Direction fields,,,,
,1,Isoclines,,,,
,1,Existence and uniqueness,,,,
,1,Autonomous equations,,,,
,1,Equilibria and stability,,,,
,1,Dimensional analysis,,,,
,2,Separable equations,,,,
,2,Implicit solutions,,,,
,2,Exponential growth and decay,,,,
,2,Half-life and doubling time,,,,
,2,Logistic growth,,,,
,2,Orthogonal trajectories,,,,
,2,Homogeneous substitutions,,,,
,2,Blow-up and maximal intervals,,,,
,3,Linear first-order equations,,,,
,3,Integrating factors,,,,
,3,Exact equations,,,,
,3,Potential functions,,,,
,3,Integrating factors for nonexact equations,,,,
,3,Bernoulli equations,,,,
,3,Substitution methods,,,,
,3,Intervals of validity,,,,
,4,Newton cooling,,,,
,4,Mixing models,,,,
,4,Linear drag,,,,
,4,Terminal velocity,,,,
,4,Population harvesting,,,,
,4,Reaction kinetics,,,,
,4,RC circuits,,,,
,4,Parameter sensitivity,,,,
,4,Model limitations,,,,
,5,Euler method,,,,
,5,Improved Euler/Heun method,,,,
,5,Runge–Kutta methods,,,,
,5,Local truncation error,,,,
,5,Global error,,,,
,5,Step-size refinement,,,,
,5,Stability regions,,,,
,5,Stiffness,,,,
,5,Adaptive methods,,,,
,5,Event detection,,,,
,6,Linear homogeneous ODEs,,,,
,6,Characteristic equations,,,,
,6,Distinct real roots,,,,
,6,Repeated roots,,,,
,6,Complex roots,,,,
,6,Initial conditions,,,,
,6,Wronskian,,,,
,6,Reduction of order,,,,
,6,Linear operators,,,,
,6,Superposition,,,,
,7,Undetermined coefficients,,,,
,7,Variation of parameters,,,,
,7,Mass–spring systems,,,,
,7,Damping regimes,,,,
,7,Forced response,,,,
,7,Resonance,,,,
,7,Amplitude and phase,,,,
,7,RLC circuits,,,,
,7,Energy and power,,,,
,8,Laplace transform,,,,
,8,Inverse transform,,,,
,8,Partial fractions,,,,
,8,Derivative transforms,,,,
,8,Unit-step functions,,,,
,8,Impulse functions,,,,
,8,Convolution,,,,
,8,Transfer functions,,,,
,8,Poles and stability,,,,
,9,State-space form,,,,
,9,Higher-order to first-order conversion,,,,
,9,Linear systems x′=Ax,,,,
,9,Eigenvalue methods,,,,
,9,Complex eigenpairs,,,,
,9,Repeated eigenvalues,,,,
,9,Fundamental matrices,,,,
,9,Matrix exponential,,,,
,9,Forced systems,,,,
,10,Autonomous planar systems,,,,
,10,Nullclines,,,,
,10,Equilibria,,,,
,10,Jacobian linearization,,,,
,10,Stability classification,,,,
,10,Predator–prey models,,,,
,10,Competition models,,,,
,10,Nonlinear oscillators,,,,
,10,Lyapunov functions,,,,
,10,Bifurcations,,,,
,10,Limit cycles,,,,
,11,Power-series solutions,,,,
,11,Ordinary points,,,,
,11,Recurrence relations,,,,
,11,Radius of convergence,,,,
,11,Frobenius method,,,,
,11,Regular singular points,,,,
,11,Euler–Cauchy equations,,,,
,11,Bessel equations,,,,
,11,Legendre equations,,,,
,11,Truncation error,,,,
,12,Boundary-value problems,,,,
,12,Eigenvalue problems,,,,
,12,Sturm–Liouville form,,,,
,12,Orthogonal eigenfunctions,,,,
,12,Fourier series,,,,
,12,Separation of variables,,,,
,12,Heat equation,,,,
,12,Wave equation,,,,
,12,Laplace equation,,,,
,12,Finite-difference bridge,,,,
,13,Parameter estimation,,,,
,13,Nondimensionalization,,,,
,13,Sensitivity analysis,,,,
,13,Uncertainty quantification,,,,
,13,Solver selection,,,,
,13,Reproducibility,,,,
,13,Feedback control,,,,
,13,Model validation,,,,
,13,Capstone design,,,,
,13,Oral defense,,,,
,13,Advanced-course bridge,,,,
