Week,Unit,Unit Title,Lesson IDs,Focus
1,1,Calculus I Bridge & Integration Fluency,u01-l01 | u01-l02 | u01-l03 | u01-l04,"Antiderivative Families, Constants & Initial Conditions; The Fundamental Theorem as an Evaluation and Accumulation Principle; Net Change, Total Change & Units; Substitution with Algebraic Structure"
2,1,Calculus I Bridge & Integration Fluency,u01-l05 | u01-l06 | u01-l07,"Substitution with Exponential, Logarithmic & Trigonometric Forms; Integration Strategy Triage; Readiness Synthesis, Error Analysis & Technology Verification"
3,2,"Integration by Parts, Reduction & Cyclic Structure",u02-l01 | u02-l02 | u02-l03,Reversing the Product Rule; Choosing u and dv Strategically; Repeated and Tabular Integration by Parts
4,2,"Integration by Parts, Reduction & Cyclic Structure",u02-l04 | u02-l05,Definite Integration by Parts; Reduction Formulas & Recursive Integrals
5,2,"Integration by Parts, Reduction & Cyclic Structure",u02-l06 | u02-l07,"Cyclic Exponential–Trigonometric Integrals; Applications, Method Comparison & Proof of Verification"
6,3,Trigonometric Integrals & Trigonometric Substitution,u03-l01 | u03-l02 | u03-l03,"Powers of Sine and Cosine; Powers of Tangent and Secant; Products, Multiple Angles & Identity Selection"
7,3,Trigonometric Integrals & Trigonometric Substitution,u03-l04 | u03-l05,Substitution for √(a²−x²); Substitution for √(a²+x²)
8,3,Trigonometric Integrals & Trigonometric Substitution,u03-l06 | u03-l07,"Substitution for √(x²−a²); Back-Substitution, Domain Analysis & Verification"
9,4,Rational Integration & Partial Fractions,u04-l01 | u04-l02 | u04-l03,Polynomial Division Before Decomposition; Distinct Linear Factors; Repeated Linear Factors
10,4,Rational Integration & Partial Fractions,u04-l04 | u04-l05,Irreducible Quadratic Factors; Repeated Irreducible Quadratics
11,4,Rational Integration & Partial Fractions,u04-l06 | u04-l07,"Mixed Factorizations & Coefficient Systems; Strategy, CAS Comparison & Domain-Safe Verification"
12,5,Improper Integrals & Numerical Integration,u05-l01 | u05-l02 | u05-l03,Infinite-Interval Improper Integrals; Unbounded Integrands on Finite Intervals; Comparison for Improper Integrals
13,5,Improper Integrals & Numerical Integration,u05-l04 | u05-l05,p-Integrals & Threshold Reasoning; Midpoint & Trapezoidal Rules
14,5,Improper Integrals & Numerical Integration,u05-l06 | u05-l07,"Simpson’s Rule & Error Structure; Adaptive Strategy, Nonelementary Integrals & Validation"
15,6,Advanced Applications of Integration,u06-l01 | u06-l02 | u06-l03,Area Between Curves & Intersection Analysis; Volumes by General Slicing; Disks & Washers
16,6,Advanced Applications of Integration,u06-l04 | u06-l05,Cylindrical Shells; Arc Length
17,6,Advanced Applications of Integration,u06-l06 | u06-l07,"Surface Area of Revolution; Method Selection, Units & Geometric Verification"
18,7,"Physical, Engineering & Probability Applications",u07-l01 | u07-l02 | u07-l03,Work by a Variable Force & Hooke’s Law; Pumping Fluids & Distributed Lifting; Hydrostatic Force on Submerged Surfaces
19,7,"Physical, Engineering & Probability Applications",u07-l04 | u07-l05,"Moments, Centroids & Centers of Mass; Probability Density Functions"
20,7,"Physical, Engineering & Probability Applications",u07-l06 | u07-l07,"Expected Value, Variance & Risk Interpretation; Engineering Model Assumptions, Sensitivity & Reporting"
21,8,Differential Equations & Numerical Models,u08-l01 | u08-l02 | u08-l03,"Direction Fields, Equilibria & Qualitative Behavior; Euler’s Method & Global Error; Separable Differential Equations"
22,8,Differential Equations & Numerical Models,u08-l04 | u08-l05,"Exponential Growth, Decay & Half-Life; Logistic Growth & Carrying Capacity"
23,8,Differential Equations & Numerical Models,u08-l06 | u08-l07,"First-Order Linear Equations & Integrating Factors; Parameter Estimation, Residuals & Model Comparison"
24,9,Parametric Curves & Vector-Valued Motion,u09-l01 | u09-l02 | u09-l03,"Parametric Representation, Elimination & Orientation; First Derivatives & Tangent Lines; Second Derivatives & Concavity"
25,9,Parametric Curves & Vector-Valued Motion,u09-l04 | u09-l05,Area from Parametric Curves; Parametric Arc Length
26,9,Parametric Curves & Vector-Valued Motion,u09-l06 | u09-l07,"Vector-Valued Position, Velocity & Acceleration; Projectile, Cycloid & Trajectory Modelling"
27,10,Polar Coordinates & Polar Calculus,u10-l01 | u10-l02 | u10-l03,"Polar Coordinates, Equivalence & Conversion; Graphing Polar Curves & Symmetry Tests; Polar Derivatives & Tangent Slopes"
28,10,Polar Coordinates & Polar Calculus,u10-l04 | u10-l05,"Area in Polar Coordinates; Intersections, Loops & Overlap"
29,10,Polar Coordinates & Polar Calculus,u10-l06 | u10-l07,"Polar Arc Length; Polar Conics, Spirals & Applied Modelling"
30,11,Sequences & Infinite Series Foundations,u11-l01 | u11-l02 | u11-l03,"Sequence Limits & Long-Run Behavior; Monotone, Bounded & Recursive Sequences; Infinite Series & Partial-Sum Sequences"
31,11,Sequences & Infinite Series Foundations,u11-l04 | u11-l05,Geometric & Telescoping Series; The nth-Term Divergence Test
32,11,Sequences & Infinite Series Foundations,u11-l06 | u11-l07,"Integral Test, p-Series & Continuous Comparison; Integral-Test Remainders & Approximation"
33,12,Convergence Tests & Conditional Behavior,u12-l01 | u12-l02 | u12-l03 | u12-l04,Direct Comparison Test; Limit Comparison Test; Alternating Series & Error Bounds; Absolute vs Conditional Convergence
34,12,Convergence Tests & Conditional Behavior,u12-l05 | u12-l06 | u12-l07,"Ratio Test; Root Test; Test Selection, Counterexamples & Decision Logic"
35,13,"Power Series, Taylor Series & Modelling Capstone",u13-l01 | u13-l02 | u13-l03 | u13-l04,Power Series & Radius of Convergence; Endpoint Testing & Interval of Convergence; Operations on Power Series; Taylor Polynomials & Local Approximation
36,13,"Power Series, Taylor Series & Modelling Capstone",u13-l05 | u13-l06 | u13-l07 | u13-l08,"Benchmark Maclaurin Series; Taylor Remainder & Error Bounds; Series in Integration & Differential Equations; Capstone Synthesis, Oral Defense & Calculus III Bridge"
