Week,Unit,Focus,Essential Question,Route
1,1,"Statements, Open Sentences and Mathematical Claims; Definitions as Mathematical Contracts; Examples, Nonexamples and Boundary Cases","How does precise mathematical language transform intuition into statements that can be proved, disproved, or refined?",units/unit-01/index.html
2,1,"Necessary, Sufficient and Equivalent Conditions; Theorems, Lemmas, Corollaries and Conjectures","How does precise mathematical language transform intuition into statements that can be proved, disproved, or refined?",units/unit-01/index.html
3,1,"Counterexamples and the Limits of Evidence; Well-Defined Objects and Ambiguous Notation","How does precise mathematical language transform intuition into statements that can be proved, disproved, or refined?",units/unit-01/index.html
4,2,"Propositions and Logical Connectives; Truth Tables and Logical Equivalence; Implication, Converse, Inverse and Contrapositive","How do propositional and predicate logic expose the exact structure of a mathematical argument?",units/unit-02/index.html
5,2,"Predicates, Domains and Quantifier Scope; Negating Quantified Statements","How do propositional and predicate logic expose the exact structure of a mathematical argument?",units/unit-02/index.html
6,2,"Nested Quantifiers and Order Dependence; Rules of Inference and Invalid Argument Forms","How do propositional and predicate logic expose the exact structure of a mathematical argument?",units/unit-02/index.html
7,3,"Set Equality, Inclusion and Extensional Reasoning; Set Operations and De Morgan Laws; Power Sets, Products and Indexed Families","How do sets, functions, and relations provide the language in which modern proofs are written?",units/unit-03/index.html
8,3,"Functions, Images and Preimages; Injective, Surjective and Bijective Maps","How do sets, functions, and relations provide the language in which modern proofs are written?",units/unit-03/index.html
9,3,"Relations, Equivalence Classes and Partitions; Partial Orders, Maximality and Comparability","How do sets, functions, and relations provide the language in which modern proofs are written?",units/unit-03/index.html
10,4,"Anatomy of a Direct Proof; Parity and Divisibility Proofs; Proving Set Inclusion and Equality","How can definitions and algebraic identities be organized into transparent direct proofs?",units/unit-04/index.html
11,4,"Inequalities and Order Arguments; Function Properties by Direct Argument","How can definitions and algebraic identities be organized into transparent direct proofs?",units/unit-04/index.html
12,4,"Algebraic Identities and Structural Closure; Proof Planning, Backward Analysis and Final Presentation","How can definitions and algebraic identities be organized into transparent direct proofs?",units/unit-04/index.html
