Week,Unit,Focus,Essential Question,Route
1,1,"Statistics as an Evidence Discipline; Cases, Variables, Populations and Samples; Categorical, Quantitative and Time-Indexed Data","How do strong questions, trustworthy measurements, and ethical decisions turn data into defensible evidence?",units/unit-01/index.html
2,1,"Measurement, Operational Definitions and Validity; Data Quality, Missingness and Bias","How do strong questions, trustworthy measurements, and ethical decisions turn data into defensible evidence?",units/unit-01/index.html
3,1,"Ethics, Privacy, Consent and Responsible Use; Reproducible Statistical Communication","How do strong questions, trustworthy measurements, and ethical decisions turn data into defensible evidence?",units/unit-01/index.html
4,2,"Frequency Tables, Dot Plots and Histograms; Shape, Modality, Skewness and Unusual Features; Mean, Median and Resistant Center","How do graphs and numerical summaries reveal distribution shape, center, spread, unusual values, and context?",units/unit-02/index.html
5,2,"Range, Quartiles, IQR and Box Plots; Variance and Standard Deviation","How do graphs and numerical summaries reveal distribution shape, center, spread, unusual values, and context?",units/unit-02/index.html
6,2,Standard Scores and Relative Standing; Transformations and Comparing Distributions,"How do graphs and numerical summaries reveal distribution shape, center, spread, unusual values, and context?",units/unit-02/index.html
7,3,Scatterplots and Association; Pearson Correlation and Standardized Association; Least-Squares Regression Line,"How can statistical models describe association, quantify uncertainty, diagnose error, and avoid causal overreach?",units/unit-03/index.html
8,3,"Residuals and Model Diagnostics; R², Prediction and Extrapolation","How can statistical models describe association, quantify uncertainty, diagnose error, and avoid causal overreach?",units/unit-03/index.html
9,3,"Transformations, Nonlinearity and Influential Points; Categorical Association, Confounding and Causal Claims","How can statistical models describe association, quantify uncertainty, diagnose error, and avoid causal overreach?",units/unit-03/index.html
10,4,"Sampling Frames and Simple Random Samples; Stratified, Cluster and Systematic Sampling; Survey Error, Nonresponse and Question Wording","How do sampling, randomization, control, and design determine what conclusions data can support?",units/unit-04/index.html
11,4,"Observational Studies and Confounding; Randomized Experiments, Control and Replication","How do sampling, randomization, control, and design determine what conclusions data can support?",units/unit-04/index.html
12,4,"Blocking, Matching, Blinding and Placebos; Simulation-Based Design and Randomization Logic","How do sampling, randomization, control, and design determine what conclusions data can support?",units/unit-04/index.html
13,5,"Sample Spaces, Events and Complements; Addition Rule and Inclusion–Exclusion; Conditional Probability and Tree Diagrams","How do probability rules, conditioning, independence, and simulation quantify uncertainty?",units/unit-05/index.html
14,5,Independence and Multiplication Rules; Bayes Theorem and Diagnostic Reasoning,"How do probability rules, conditioning, independence, and simulation quantify uncertainty?",units/unit-05/index.html
15,5,"Counting, Permutations and Combinations; Monte Carlo Simulation and Probability Validation","How do probability rules, conditioning, independence, and simulation quantify uncertainty?",units/unit-05/index.html
16,6,"Random Variables and Probability Mass Functions; Expected Value as Long-Run Balance; Variance, Standard Deviation and Linear Transformations","How do random variables and probability distributions connect uncertain outcomes to expected value, variation, and decisions?",units/unit-06/index.html
17,6,Binomial Distribution; Geometric and Waiting-Time Models,"How do random variables and probability distributions connect uncertain outcomes to expected value, variation, and decisions?",units/unit-06/index.html
18,6,"Poisson Counts and Rate Models; Covariance, Sums and Decision Applications","How do random variables and probability distributions connect uncertain outcomes to expected value, variation, and decisions?",units/unit-06/index.html
19,7,Continuous Random Variables and Density Curves; Normal Models and the Empirical Rule; Standard Normal Probabilities and Percentiles,"How do density models and repeated sampling explain normal approximation, standard error, and the central limit theorem?",units/unit-07/index.html
20,7,Sampling Distribution of a Proportion; Sampling Distribution of a Mean,"How do density models and repeated sampling explain normal approximation, standard error, and the central limit theorem?",units/unit-07/index.html
21,7,Central Limit Theorem and Normal Approximation; t Distributions and Bootstrap Intuition,"How do density models and repeated sampling explain normal approximation, standard error, and the central limit theorem?",units/unit-07/index.html
22,8,Confidence-Interval Logic and Interpretation; One-Proportion Confidence Intervals; One-Mean t Intervals,"How do confidence intervals combine an estimate, standard error, confidence level, and design assumptions?",units/unit-08/index.html
23,8,Two-Proportion Intervals; Two-Mean and Paired Intervals,"How do confidence intervals combine an estimate, standard error, confidence level, and design assumptions?",units/unit-08/index.html
24,8,"Bootstrap Confidence Intervals; Margin of Error, Sample Size and Practical Precision","How do confidence intervals combine an estimate, standard error, confidence level, and design assumptions?",units/unit-08/index.html
25,9,"Logic of Significance Tests; Errors, Power and Study Planning; One-Proportion and One-Mean Tests","How do null models, test statistics, p-values, errors, power, and effect sizes support disciplined decisions?",units/unit-09/index.html
26,9,Two-Proportion and Two-Mean Tests; Paired Tests and Within-Subject Designs,"How do null models, test statistics, p-values, errors, power, and effect sizes support disciplined decisions?",units/unit-09/index.html
27,9,"Randomization and Permutation Tests; Practical Significance, Multiplicity and Evidence Quality","How do null models, test statistics, p-values, errors, power, and effect sizes support disciplined decisions?",units/unit-09/index.html
28,10,Chi-Square Goodness of Fit; Chi-Square Homogeneity; Chi-Square Independence; Standardized Residuals and Effect Size,How do categorical and multi-group methods compare observed variation with variation expected under a null model?,units/unit-10/index.html
29,10,"One-Way ANOVA and the F Ratio; ANOVA Assumptions, Diagnostics and Robustness; Multiple Comparisons and Planned Contrasts",How do categorical and multi-group methods compare observed variation with variation expected under a null model?,units/unit-10/index.html
30,11,"Multiple Regression and Partial Effects; Categorical Predictors and Indicator Coding; Interactions and Nonparallel Effects; Residuals, Influence and Collinearity","How do multiple predictors, interactions, diagnostics, and validation improve prediction without disguising uncertainty or causality?",units/unit-11/index.html
31,11,Model Selection and Adjusted Fit; Prediction Intervals and Cross-Validation; Regression Communication and Causal Limits,"How do multiple predictors, interactions, diagnostics, and validation improve prediction without disguising uncertainty or causality?",units/unit-11/index.html
32,12,"Bootstrap Distributions and Standard Errors; Permutation Tests and Exchangeability; Sign and Rank-Based Methods; Bayesian Updating: Prior, Likelihood and Posterior","How do resampling, rank-based methods, and Bayesian updating extend inference when classical assumptions or interpretations are limiting?",units/unit-12/index.html
33,12,Bayesian Estimation and Credible Intervals; Posterior Predictive Checks and Model Criticism; Frequentist and Bayesian Evidence in Context,"How do resampling, rank-based methods, and Bayesian updating extend inference when classical assumptions or interpretations are limiting?",units/unit-12/index.html
34,13,"Data Cleaning, Tidy Structure and Metadata; Missing Data, Imputation and Sensitivity; Visualization Design and Statistical Storytelling","How can a statistical investigation become an auditable, ethical, reproducible argument that withstands technical and public scrutiny?",units/unit-13/index.html
35,13,"Simulation, Monte Carlo and Computational Experiments; Reproducible Workflows, Versioning and Audit Trails; Fairness, Responsible AI and Statistical Harm","How can a statistical investigation become an auditable, ethical, reproducible argument that withstands technical and public scrutiny?",units/unit-13/index.html
36,13,"Capstone Question, Design and Evidence Plan; Technical Report, Oral Defense and Advanced Statistics Bridge","How can a statistical investigation become an auditable, ethical, reproducible argument that withstands technical and public scrutiny?",units/unit-13/index.html
