Unit,Standard,Mastery Target,Evidence,Status
1,"Topological spaces and axioms",80,,
1,"Open and closed sets",80,,
1,"Neighborhoods",80,,
1,"Bases and subbases",80,,
1,"Interior, closure and boundary",80,,
1,"Continuous maps",80,,
1,"Homeomorphisms",80,,
1,"Initial examples and counterexamples",80,,
2,"Metric topology",80,,
2,"Convergence and Cauchy sequences",80,,
2,"First and second countability",80,,
2,"T0, T1 and Hausdorff spaces",80,,
2,"Regular and normal spaces",80,,
2,"Urysohn-type separation ideas",80,,
2,"Metrization foundations",80,,
3,"Open-cover compactness",80,,
3,"Sequential compactness in metric spaces",80,,
3,"Local compactness",80,,
3,"Connectedness and path connectedness",80,,
3,"Components",80,,
3,"Product topology",80,,
3,"Quotient topology",80,,
3,"Gluing constructions",80,,
4,"Homotopy of maps",80,,
4,"Path homotopy",80,,
4,"Fundamental group",80,,
4,"Van Kampen foundations",80,,
4,"Covering maps",80,,
4,"Lifting properties",80,,
4,"Deck transformations",80,,
4,"Classification examples",80,,
5,"Simplicial and CW complexes",80,,
5,"Chain groups and boundary maps",80,,
5,"Homology groups",80,,
5,"Exact sequences",80,,
5,"Euler characteristic",80,,
5,"Cohomology foundations",80,,
5,"Mayer\u2013Vietoris ideas",80,,
5,"Poincar\u00e9 duality preview",80,,
6,"Topological manifolds",80,,
6,"Smooth atlases",80,,
6,"Smooth compatibility",80,,
6,"Smooth maps",80,,
6,"Tangent vectors",80,,
6,"Cotangent spaces",80,,
6,"Vector fields",80,,
6,"Lie brackets",80,,
7,"Inverse function theorem",80,,
7,"Implicit function theorem",80,,
7,"Immersions and submersions",80,,
7,"Embedded submanifolds",80,,
7,"Regular values",80,,
7,"Sard theorem",80,,
7,"Transversality",80,,
7,"Degree and index foundations",80,,
8,"Regular curves",80,,
8,"Arc length",80,,
8,"Frenet frame",80,,
8,"Surface parametrizations",80,,
8,"First fundamental form",80,,
8,"Second fundamental form",80,,
8,"Principal curvatures",80,,
8,"Gaussian and mean curvature",80,,
9,"Riemannian metrics",80,,
9,"Length and energy",80,,
9,"Levi\u2013Civita connection",80,,
9,"Covariant derivatives",80,,
9,"Geodesic equation",80,,
9,"Exponential map",80,,
9,"Geodesic completeness",80,,
9,"Curvature tensors",80,,
10,"Exterior algebra",80,,
10,"Differential forms",80,,
10,"Exterior derivative",80,,
10,"Pullbacks",80,,
10,"Orientation and integration",80,,
10,"Stokes theorem",80,,
10,"de Rham cohomology",80,,
10,"Poincar\u00e9 lemma",80,,
11,"Vector bundles",80,,
11,"Sections and transition functions",80,,
11,"Tangent and cotangent bundles",80,,
11,"Principal bundles",80,,
11,"Lie groups and Lie algebras",80,,
11,"Connections and curvature",80,,
11,"Holonomy foundations",80,,
12,"Morse functions",80,,
12,"Handle attachment",80,,
12,"Morse inequalities",80,,
12,"Gauss\u2013Bonnet",80,,
12,"Poincar\u00e9\u2013Hopf",80,,
12,"Jacobi fields",80,,
12,"Comparison geometry",80,,
12,"Global rigidity",80,,
13,"Surface classification",80,,
13,"Knot and link foundations",80,,
13,"Computational topology",80,,
13,"Persistent homology",80,,
13,"Geometric analysis",80,,
13,"Relativity and gauge applications",80,,
13,"Research design and exposition",80,,
