Learner,Unit,Standard / Concept,Evidence,Score %,Date,Notes
,1,Vectors in R^n,,,,
,1,Linear combinations,,,,
,1,Span,,,,
,1,Dot product,,,,
,1,Norm and distance,,,,
,1,Systems of linear equations,,,,
,1,Matrix equation Ax=b,,,,
,1,Consistency and parametric solution sets,,,,
,2,Gaussian elimination,,,,
,2,Echelon and reduced echelon forms,,,,
,2,Pivot positions,,,,
,2,Matrix multiplication,,,,
,2,Inverse matrices,,,,
,2,Invertible Matrix Theorem,,,,
,2,Elementary matrices,,,,
,2,LU factorization,,,,
,2,Sensitivity,,,,
,3,Block matrices,,,,
,3,Permutation matrices,,,,
,3,Operation counts,,,,
,3,Pivoting,,,,
,3,LU and QR structure,,,,
,3,Matrix norms,,,,
,3,Residual analysis,,,,
,3,Algorithm comparison,,,,
,4,Vector-space axioms,,,,
,4,Subspace test,,,,
,4,Column space,,,,
,4,Nullspace,,,,
,4,Row space,,,,
,4,Left nullspace,,,,
,4,Polynomial and function spaces,,,,
,4,Sums and intersections,,,,
,4,Four fundamental subspaces,,,,
,5,Linear independence,,,,
,5,Spanning sets,,,,
,5,Basis,,,,
,5,Coordinates,,,,
,5,Dimension,,,,
,5,Rank-nullity theorem,,,,
,5,Change of basis,,,,
,5,Basis extraction algorithms,,,,
,6,Definition of linearity,,,,
,6,Kernel and image,,,,
,6,Standard matrix,,,,
,6,Composition,,,,
,6,Inverse transformations,,,,
,6,Geometric transformations,,,,
,6,Matrix representation in bases,,,,
,6,Isomorphisms,,,,
,7,Determinant properties,,,,
,7,Cofactor expansion,,,,
,7,Elimination methods,,,,
,7,Signed volume,,,,
,7,Orientation,,,,
,7,Cramer’s Rule,,,,
,7,Invertibility,,,,
,7,Multilinearity,,,,
,8,Eigenvalues and eigenvectors,,,,
,8,Characteristic polynomial,,,,
,8,Eigenspaces,,,,
,8,Algebraic and geometric multiplicity,,,,
,8,Diagonalization,,,,
,8,Matrix powers,,,,
,8,Complex eigenvalues,,,,
,8,Defective matrices,,,,
,8,Jordan form preview,,,,
,9,Inner products,,,,
,9,Orthogonal complements,,,,
,9,Projection,,,,
,9,Least squares,,,,
,9,Normal equations,,,,
,9,Gram–Schmidt,,,,
,9,Orthogonal matrices,,,,
,9,QR factorization,,,,
,9,Linear regression,,,,
,10,Symmetric matrices,,,,
,10,Spectral theorem,,,,
,10,Positive definiteness,,,,
,10,Sylvester criteria,,,,
,10,Quadratic forms,,,,
,10,Cholesky factorization,,,,
,10,Constrained optimization,,,,
,10,Principal axes,,,,
,11,Singular values,,,,
,11,SVD,,,,
,11,Pseudoinverse,,,,
,11,Rank-k approximation,,,,
,11,Eckart–Young theorem,,,,
,11,Principal component analysis,,,,
,11,Image compression,,,,
,11,Condition number,,,,
,11,Noise amplification,,,,
,12,Markov matrices,,,,
,12,Stationary distributions,,,,
,12,Graph incidence matrices,,,,
,12,Graph Laplacians,,,,
,12,Network flows,,,,
,12,Homogeneous coordinates,,,,
,12,Error-correcting codes,,,,
,12,PageRank,,,,
,12,Recommendation models,,,,
,12,Matrix exponentials,,,,
,13,Floating-point error,,,,
,13,Conditioning and stability,,,,
,13,Iterative methods,,,,
,13,Sparse matrices,,,,
,13,Proof strategies,,,,
,13,Model validation,,,,
,13,Capstone design,,,,
,13,Oral mathematical defense,,,,
,13,Advanced-course bridge,,,,
