Unit,Standard,Introduced,Practiced,Mastered
1,Statistical problem-solving process,,,
1,Investigative questions,,,
1,Cases and variables,,,
1,Categorical and quantitative data,,,
1,Measurement validity,,,
1,Bias and data quality,,,
1,Ethics and privacy,,,
1,Reproducibility,,,
1,Statistical communication,,,
2,Frequency tables,,,
2,Dot plots,,,
2,Histograms,,,
2,Box plots,,,
2,Shape and modality,,,
2,Mean and median,,,
2,Quartiles and IQR,,,
2,Variance and standard deviation,,,
2,Outliers,,,
2,Standard scores,,,
2,Transformations,,,
3,Scatterplots,,,
3,Direction and form,,,
3,Correlation,,,
3,Least-squares regression,,,
3,Residuals,,,
3,Coefficient of determination,,,
3,Influential points,,,
3,Transformations,,,
3,Two-way tables,,,
3,Confounding,,,
3,Causation,,,
4,Simple random sampling,,,
4,Stratified sampling,,,
4,Cluster sampling,,,
4,Systematic sampling,,,
4,Voluntary response,,,
4,Nonresponse,,,
4,Random assignment,,,
4,Control groups,,,
4,Blinding,,,
4,Blocking,,,
4,Matched pairs,,,
4,Observational studies,,,
4,Confounding,,,
4,Simulation,,,
5,Sample spaces,,,
5,Events,,,
5,Addition rule,,,
5,Multiplication rule,,,
5,Conditional probability,,,
5,Independence,,,
5,Tree diagrams,,,
5,Bayes theorem,,,
5,Counting principles,,,
5,Simulation,,,
6,Random variables,,,
6,Probability mass functions,,,
6,Expected value,,,
6,Variance,,,
6,Linear transformations,,,
6,Binomial distribution,,,
6,Geometric distribution,,,
6,Poisson distribution,,,
6,Covariance,,,
6,Simulation,,,
7,Density curves,,,
7,Normal distribution,,,
7,Standardization,,,
7,Percentiles,,,
7,Sampling distributions,,,
7,Standard error,,,
7,Central limit theorem,,,
7,t distribution,,,
7,Bootstrap intuition,,,
8,Point estimation,,,
8,Confidence level,,,
8,Margin of error,,,
8,One proportion interval,,,
8,One mean interval,,,
8,Two proportions,,,
8,Two means,,,
8,Paired data,,,
8,Bootstrap intervals,,,
8,Sample size planning,,,
9,Null and alternative hypotheses,,,
9,Test statistics,,,
9,p-values,,,
9,Significance level,,,
9,Type I and II errors,,,
9,Power,,,
9,One-sample tests,,,
9,Two-sample tests,,,
9,Paired tests,,,
9,Randomization tests,,,
9,Effect size,,,
9,Multiple testing,,,
10,Chi-square goodness of fit,,,
10,Chi-square homogeneity,,,
10,Chi-square independence,,,
10,Expected counts,,,
10,Residuals,,,
10,One-way ANOVA,,,
10,F statistic,,,
10,Assumptions,,,
10,Multiple comparisons,,,
10,Effect sizes,,,
11,Multiple regression,,,
11,Indicator variables,,,
11,Interactions,,,
11,Partial slopes,,,
11,Adjusted R²,,,
11,Residual diagnostics,,,
11,Collinearity,,,
11,Model selection,,,
11,Prediction intervals,,,
11,Cross-validation,,,
11,Causal limits,,,
12,Bootstrap,,,
12,Permutation tests,,,
12,Randomization inference,,,
12,Sign test,,,
12,Rank-sum test,,,
12,Signed-rank test,,,
12,Bayesian updating,,,
12,Prior and likelihood,,,
12,Posterior distributions,,,
12,Credible intervals,,,
12,Posterior predictive checks,,,
13,Data cleaning,,,
13,Tidy data,,,
13,Missing data,,,
13,Visualization design,,,
13,Simulation,,,
13,Monte Carlo,,,
13,Reproducible workflows,,,
13,Fairness,,,
13,Sensitivity analysis,,,
13,Technical reporting,,,
13,Oral defense,,,
13,Advanced statistics bridge,,,
