Week,Unit,Focus,Essential Question,Route
1,1,"Why Topology? Space Beyond Distance; Topological Spaces and the Open-Set Axioms; Closed Sets, Complements and Dual Axioms","How do open sets encode nearness and continuity without requiring distance?",units/unit-01/index.html
2,1,"Neighborhoods, Interior, Closure and Boundary; Bases and Local Descriptions of Topology; Subbases and Generated Topologies","How do open sets encode nearness and continuity without requiring distance?",units/unit-01/index.html
3,1,"Continuity Through Preimages; Homeomorphisms and Topological Equivalence","How do open sets encode nearness and continuity without requiring distance?",units/unit-01/index.html
4,2,"Metrics, Open Balls and Induced Topologies; Convergence, Cauchy Sequences and Completeness; Equivalent Metrics and Topological Invariance","Which local and separation properties distinguish well-behaved spaces?",units/unit-02/index.html
5,2,"First Countability and Sequence Tests; Second Countability, Separability and Lindel\u00f6f Ideas","Which local and separation properties distinguish well-behaved spaces?",units/unit-02/index.html
6,2,"Separation Axioms from T\u2080 to Hausdorff; Regularity, Normality and Metrization Foundations","Which local and separation properties distinguish well-behaved spaces?",units/unit-02/index.html
7,3,"Compactness by Open Covers; Compactness in Metric and Euclidean Spaces; Continuous Images and Extreme-Value Consequences","How do global topological properties survive continuous maps and constructions?",units/unit-03/index.html
8,3,"Connectedness and Separation; Path Connectedness and Components","How do global topological properties survive continuous maps and constructions?",units/unit-03/index.html
9,3,"Product Spaces and Universal Coordinates; Quotient Spaces, Identifications and Gluing","How do global topological properties survive continuous maps and constructions?",units/unit-03/index.html
10,4,"Homotopy as Continuous Deformation; Loops, Concatenation and Path Homotopy; The Fundamental Group","How can loops and deformations detect holes that ordinary coordinates cannot?",units/unit-04/index.html
11,4,"Simply Connected Spaces and Contractibility; Seifert\u2013van Kampen Strategy","How can loops and deformations detect holes that ordinary coordinates cannot?",units/unit-04/index.html
12,4,"Covering Spaces and Lifting; Deck Transformations and Classification Examples","How can loops and deformations detect holes that ordinary coordinates cannot?",units/unit-04/index.html
13,5,"Simplicial Complexes and Triangulated Spaces; CW Complexes and Cell Attachments; Chains, Boundaries and the Identity \u2202\u00b2=0","How can algebraic invariants measure holes in every dimension?",units/unit-05/index.html
14,5,"Homology Groups and Dimensional Holes; Exact Sequences and Mayer\u2013Vietoris Strategy","How can algebraic invariants measure holes in every dimension?",units/unit-05/index.html
15,5,"Euler Characteristic and Homological Counting; Cohomology, Products and Duality Preview","How can algebraic invariants measure holes in every dimension?",units/unit-05/index.html
16,6,"Topological Manifolds and Local Euclidean Structure; Charts, Atlases and Smooth Compatibility; Smooth Maps and Diffeomorphisms","How do local Euclidean coordinates assemble into globally curved spaces?",units/unit-06/index.html
17,6,"Tangent Vectors as Velocities and Derivations; Differentials, Rank and the Chain Rule","How do local Euclidean coordinates assemble into globally curved spaces?",units/unit-06/index.html
18,6,"Cotangent Spaces, Covectors and Tensors; Vector Fields, Flows and Lie Brackets","How do local Euclidean coordinates assemble into globally curved spaces?",units/unit-06/index.html
19,7,"Inverse and Implicit Function Theorems on Manifolds; Immersions, Submersions and Embeddings; Regular Values and the Preimage Theorem","How do smooth maps create and classify geometric subspaces?",units/unit-07/index.html
20,7,"Critical Points, Sard\u2019s Theorem and Genericity; Transversality and Stable Intersections","How do smooth maps create and classify geometric subspaces?",units/unit-07/index.html
21,7,"Orientation, Degree and Winding; Vector-Field Index and Poincar\u00e9\u2013Hopf Preview","How do smooth maps create and classify geometric subspaces?",units/unit-07/index.html
22,8,"Regular Curves and Arc-Length Parametrization; Curvature, Torsion and the Frenet Frame; Local and Global Geometry of Plane Curves","How do derivatives measure bending, twisting, and intrinsic surface geometry?",units/unit-08/index.html
23,8,"Parametrized Surfaces and Tangent Planes; The First Fundamental Form","How do derivatives measure bending, twisting, and intrinsic surface geometry?",units/unit-08/index.html
24,8,"The Second Fundamental Form and Shape Operator; Gaussian Curvature, Mean Curvature and Theorema Egregium","How do derivatives measure bending, twisting, and intrinsic surface geometry?",units/unit-08/index.html
25,9,"Riemannian Metrics and Smooth Inner Products; Length, Energy and Riemannian Distance; Connections and Covariant Differentiation","How does a varying inner product determine distance, motion, and curvature on a manifold?",units/unit-09/index.html
26,9,"The Levi\u2013Civita Connection; Geodesics and the Geodesic Equation","How does a varying inner product determine distance, motion, and curvature on a manifold?",units/unit-09/index.html
27,9,"Exponential Maps, Normal Coordinates and Completeness; Riemann, Sectional, Ricci and Scalar Curvature","How does a varying inner product determine distance, motion, and curvature on a manifold?",units/unit-09/index.html
28,10,"Alternating Tensors and the Exterior Algebra; Differential Forms and Pullbacks; The Exterior Derivative","How does exterior calculus unify vector calculus, integration, topology, and geometry?",units/unit-10/index.html
