Week,Unit,Focus,Essential Question,Route
1,1,"Statements, Propositions and Truth Values; Logical Connectives and Compound Statements; Truth Tables and Semantic Evaluation","How does formal logic turn precise statements into verifiable arguments, specifications, and computational decisions?",units/unit-01/index.html
2,1,"Logical Equivalence and Algebra of Propositions; Implication, Converse, Inverse and Contrapositive","How does formal logic turn precise statements into verifiable arguments, specifications, and computational decisions?",units/unit-01/index.html
3,1,"Predicates, Quantifiers and Negation; Rules of Inference, Valid Arguments and Fallacies","How does formal logic turn precise statements into verifiable arguments, specifications, and computational decisions?",units/unit-01/index.html
4,2,"Set Language, Membership and Subsets; Set Operations and Identities; Power Sets, Cartesian Products and Tuples","How do sets, functions, and relations model the objects, mappings, and structural constraints used throughout computer science?",units/unit-02/index.html
5,2,"Functions, Domains, Codomains and Ranges; Injective, Surjective and Bijective Functions","How do sets, functions, and relations model the objects, mappings, and structural constraints used throughout computer science?",units/unit-02/index.html
6,2,"Relations and Their Properties; Equivalence Relations, Partitions, Orders and Cardinality","How do sets, functions, and relations model the objects, mappings, and structural constraints used throughout computer science?",units/unit-02/index.html
7,3,"Definitions, Theorems and the Anatomy of Proof; Direct Proof and Constructive Reasoning; Proof by Contraposition","How do proof techniques establish correctness, reveal structure, and guarantee that recursive or iterative processes behave as intended?",units/unit-03/index.html
8,3,"Proof by Contradiction and Counterexample; Proof by Cases, Existence and Uniqueness","How do proof techniques establish correctness, reveal structure, and guarantee that recursive or iterative processes behave as intended?",units/unit-03/index.html
9,3,"Mathematical, Strong and Structural Induction; Recursive Definitions, Invariants and Termination","How do proof techniques establish correctness, reveal structure, and guarantee that recursive or iterative processes behave as intended?",units/unit-03/index.html
10,4,Divisibility and the Division Algorithm; Greatest Common Divisors and the Euclidean Algorithm; Prime Numbers and Unique Factorization,"How do divisibility and congruence create efficient arithmetic systems for computation, hashing, coding, and cryptography?",units/unit-04/index.html
11,4,Congruence and Modular Arithmetic; Modular Inverses and Linear Congruences,"How do divisibility and congruence create efficient arithmetic systems for computation, hashing, coding, and cryptography?",units/unit-04/index.html
12,4,"Chinese Remainder Theorem and Fast Exponentiation; RSA Foundations, Hashing and Check Digits","How do divisibility and congruence create efficient arithmetic systems for computation, hashing, coding, and cryptography?",units/unit-04/index.html
13,5,Sum and Product Rules; Permutations and Ordered Arrangements; Combinations and Binomial Coefficients,How can complex configuration spaces be counted without listing every possibility?,units/unit-05/index.html
14,5,Multisets and Combinations with Repetition; Pigeonhole Principle and Extremal Guarantees,How can complex configuration spaces be counted without listing every possibility?,units/unit-05/index.html
15,5,Inclusion–Exclusion and Overlapping Constraints; Combinatorial Proofs and Binomial Identities,How can complex configuration spaces be counted without listing every possibility?,units/unit-05/index.html
16,6,"Sequences and Recursive Definitions; Modelling with Recurrence Relations; Iteration, Substitution and First-Order Recurrences","How do recursive definitions and recurrences describe the time, space, and structure of discrete processes?",units/unit-06/index.html
17,6,Linear Homogeneous Recurrences and Characteristic Roots; Nonhomogeneous Recurrences and Particular Solutions,"How do recursive definitions and recurrences describe the time, space, and structure of discrete processes?",units/unit-06/index.html
18,6,Divide-and-Conquer Recurrences and Growth; Generating Functions and Recurrence Verification,"How do recursive definitions and recurrences describe the time, space, and structure of discrete processes?",units/unit-06/index.html
19,7,Finite Sample Spaces and Event Algebra; Conditional Probability and Bayes Reasoning; Independence and Repeated Trials,"How does probability quantify uncertainty in finite processes, randomized algorithms, and discrete systems?",units/unit-07/index.html
20,7,"Discrete Random Variables and Expected Value; Variance, Indicators and Linearity of Expectation","How does probability quantify uncertainty in finite processes, randomized algorithms, and discrete systems?",units/unit-07/index.html
21,7,Binomial and Geometric Distributions; Randomized Algorithms and the Probabilistic Method,"How does probability quantify uncertainty in finite processes, randomized algorithms, and discrete systems?",units/unit-07/index.html
22,8,"Graph Models, Terminology and Representations; Degree, Handshaking and Structural Accounting; Walks, Trails, Paths and Cycles","How do graphs model connectivity, dependency, movement, and interaction in computational systems?",units/unit-08/index.html
23,8,"Connectivity, Components and Cut Structure; Euler Trails and Circuits","How do graphs model connectivity, dependency, movement, and interaction in computational systems?",units/unit-08/index.html
24,8,"Hamiltonian Paths, Cycles and Computational Difficulty; Breadth-First and Depth-First Traversal","How do graphs model connectivity, dependency, movement, and interaction in computational systems?",units/unit-08/index.html
25,9,"Trees and Equivalent Characterizations; Rooted Trees, Levels and Traversals; Binary, Search and Expression Trees","How do trees represent hierarchy, support efficient search, and connect networks with minimal redundancy?",units/unit-09/index.html
26,9,Spanning Trees and Network Redundancy; Kruskal and Prim Minimum-Spanning Algorithms,"How do trees represent hierarchy, support efficient search, and connect networks with minimal redundancy?",units/unit-09/index.html
27,9,"Tree Encodings, Prüfer Sequences and Counting; Structural Induction and Recursive Tree Algorithms","How do trees represent hierarchy, support efficient search, and connect networks with minimal redundancy?",units/unit-09/index.html
28,10,Shortest Paths and Dijkstra’s Algorithm; Directed Acyclic Graphs and Topological Ordering; Graph Coloring and Scheduling Constraints; Bipartite Graphs and Matchings,"How do graph algorithms solve routing, scheduling, assignment, coloring, and capacity problems?",units/unit-10/index.html
29,10,"Hall’s Theorem and Augmenting Paths; Network Flow and Max-Flow Min-Cut; Planar Graphs, Euler’s Formula and Algorithmic Verification","How do graph algorithms solve routing, scheduling, assignment, coloring, and capacity problems?",units/unit-10/index.html
30,11,Boolean Algebra and Duality; Logic Gates and Combinational Circuits; Normal Forms and Karnaugh-Map Minimization; Finite-State Machines and Transition Tables,"How do Boolean algebra and finite-state models connect mathematical logic to hardware, software, and protocol behavior?",units/unit-11/index.html
31,11,"Deterministic and Nondeterministic Automata; Regular Languages and Pattern Recognition; State Invariants, Protocol Verification and Model-Checking Foundations","How do Boolean algebra and finite-state models connect mathematical logic to hardware, software, and protocol behavior?",units/unit-11/index.html
32,12,"Growth of Functions and Asymptotic Notation; Summations and Loop Analysis; Recurrences in Algorithm Analysis; Algorithm Correctness with Preconditions, Postconditions and Invariants","How do discrete mathematics and proof distinguish feasible algorithms, correct programs, and fundamentally undecidable problems?",units/unit-12/index.html
33,12,"Countability and Diagonal Reasoning; Decidability, Recognizability and Reductions; P, NP and NP-Completeness Foundations","How do discrete mathematics and proof distinguish feasible algorithms, correct programs, and fundamentally undecidable problems?",units/unit-12/index.html
34,13,"Set and Logic Models in Databases and Queries; Coding Theory and Hamming Distance; Parity, Check Codes and Error Correction","How can logic, combinatorics, graphs, number theory, probability, and proof combine into a defensible computer-science model?",units/unit-13/index.html
35,13,"Constraint Satisfaction and SAT; Network Analysis, Centrality and Community Structure; Security, Privacy and Combinatorial Risk","How can logic, combinatorics, graphs, number theory, probability, and proof combine into a defensible computer-science model?",units/unit-13/index.html
36,13,"Capstone Design: Model, Proof and Algorithm; Technical Report, Demonstration and Oral Defense","How can logic, combinatorics, graphs, number theory, probability, and proof combine into a defensible computer-science model?",units/unit-13/index.html
