Unit,Standard,Introduced,Practiced,Mastered
1,Propositions and truth values,,,
1,Logical connectives,,,
1,Truth tables,,,
1,Logical equivalence,,,
1,Implication and contrapositive,,,
1,Predicate logic,,,
1,Quantifiers,,,
1,Rules of inference,,,
1,Argument validity,,,
1,Normal forms,,,
2,Set notation,,,
2,Subsets and equality,,,
2,Set operations,,,
2,Power sets,,,
2,Cartesian products,,,
2,Functions,,,
2,Injective and surjective maps,,,
2,Composition and inverses,,,
2,Relations,,,
2,Equivalence relations,,,
2,Partial orders,,,
2,Cardinality,,,
3,Definitions and theorem structure,,,
3,Direct proof,,,
3,Contraposition,,,
3,Contradiction,,,
3,Proof by cases,,,
3,Existence and uniqueness,,,
3,Mathematical induction,,,
3,Strong induction,,,
3,Structural induction,,,
3,Recursive definitions,,,
3,Loop invariants,,,
3,Termination,,,
4,Divisibility,,,
4,Division algorithm,,,
4,Greatest common divisor,,,
4,Euclidean algorithm,,,
4,Bézout identity,,,
4,Prime numbers,,,
4,Unique factorization,,,
4,Congruence,,,
4,Modular inverses,,,
4,Chinese remainder theorem,,,
4,Fast exponentiation,,,
4,RSA foundations,,,
4,Hashing and check digits,,,
5,Sum and product rules,,,
5,Permutations,,,
5,Combinations,,,
5,Binomial coefficients,,,
5,Multiset counting,,,
5,Pigeonhole principle,,,
5,Inclusion-exclusion,,,
5,Combinatorial identities,,,
5,Combinatorial proof,,,
5,Counting with restrictions,,,
6,Sequences,,,
6,Recursive definitions,,,
6,Recurrence relations,,,
6,Initial conditions,,,
6,Iteration and substitution,,,
6,Linear recurrences,,,
6,Characteristic equations,,,
6,Divide-and-conquer recurrences,,,
6,Generating functions,,,
6,Recurrence verification,,,
7,Sample spaces,,,
7,Events,,,
7,Conditional probability,,,
7,Independence,,,
7,Bayes theorem,,,
7,Discrete random variables,,,
7,Expected value,,,
7,Variance,,,
7,Linearity of expectation,,,
7,Binomial and geometric distributions,,,
7,Randomized algorithms,,,
7,Probabilistic method,,,
8,Graphs and digraphs,,,
8,Vertices and edges,,,
8,Degree,,,
8,Handshaking lemma,,,
8,"Walks, trails, paths and cycles",,,
8,Connectivity,,,
8,Components,,,
8,Euler trails,,,
8,Hamiltonian paths,,,
8,Adjacency structures,,,
8,Breadth-first search,,,
8,Depth-first search,,,
9,Tree definitions,,,
9,Equivalent tree characterizations,,,
9,Rooted trees,,,
9,Depth and height,,,
9,Tree traversal,,,
9,Binary trees,,,
9,Expression trees,,,
9,Spanning trees,,,
9,Minimum spanning trees,,,
9,Kruskal algorithm,,,
9,Prim algorithm,,,
9,Tree encodings,,,
9,Induction on trees,,,
10,Shortest paths,,,
10,Dijkstra algorithm,,,
10,Directed acyclic graphs,,,
10,Topological ordering,,,
10,Graph coloring,,,
10,Bipartite graphs,,,
10,Matchings,,,
10,Hall theorem,,,
10,Network flow,,,
10,Max-flow min-cut,,,
10,Planarity,,,
10,Euler formula,,,
10,Algorithm correctness,,,
11,Boolean algebra,,,
11,Duality,,,
11,Logic gates,,,
11,Circuit equivalence,,,
11,Disjunctive and conjunctive normal forms,,,
11,Karnaugh maps,,,
11,Finite-state machines,,,
11,Deterministic finite automata,,,
11,Regular languages,,,
11,State invariants,,,
11,Transition systems,,,
11,Model-checking foundations,,,
12,Asymptotic notation,,,
12,Growth rates,,,
12,Summations,,,
12,Loop analysis,,,
12,Recurrence analysis,,,
12,Correctness proofs,,,
12,Complexity classes,,,
12,Reductions,,,
12,Countability,,,
12,Diagonalization,,,
12,Decidability,,,
12,P and NP foundations,,,
13,Database logic,,,
13,Coding theory,,,
13,Hamming distance,,,
13,Error detection and correction,,,
13,Constraint satisfaction,,,
13,SAT,,,
13,Network analysis,,,
13,Security models,,,
13,Combinatorial optimization,,,
13,Technical proof writing,,,
13,Reproducibility,,,
13,Ethics and limitations,,,
